Nº REG;NOMBRE;DOMICILIO;nº;Nº Expte;Capacidad;Clase;Estado;Disp nº;Fecha Disp. Inscripción;Disp nº;Fecha Disp. Re-Inscripción;Disp. de rechazo nº ;fecha disposición de rechazo;Disposición de recalculo capacidad nº;Fecha disposición de  capacidad
119;AMBAR;AV. BEIRO;3124/28;1527712/10;247 personas;"""C.C""";RENOVADO 2012;150;40540;63;41023;;;150;40540
120;"TERRAZAS DEL ESTE";"R. OBLIGADO Y SARMIENTO";;1602841/10;3158 personas;"""C""";RENOVADO 2011;10;40584;147;40905;; ;151;40540
121;DISCO SIX;AV. CABILDO;3241;23050/11;900 personas;"""C""";RENOVADO 2012;1;40553;1;40918;;;1;40553
122;YOUR CLUB;SUIPACHA ;586;254976/11;520personas;"""C""";RENOVADO 2012;43;40625;44;40988;;;43;40625
123;WANNA;DARWIN ;1574;519875/11;563 personas;"""C""";RENOVADO 2012;59;40661;64;41023;;;59;40631
123;WANNA;Av. J. B. JUSTO;1634;519875/11;563 personas;"""C""";RENOVADO 2012;59;40661;64;41023;;;59;40631
124;RIVDADAVIA 9131;Av. RIVADAVIA;9131;316734/11;120 personas;"""C.C""";RENOVADO 2012;63;40676;70;41047;;;63;40676
125;PIZZA BANANA;"AV. RAFAEL OBLIGADO";6201;736109/11;1143 personas;"""C""";RENOVADO 2012;68;40683;73;41052;;;68;40683
126;WHO;EMMA DE LA BARRA;333;990186/11;490 personas;"""C""";INSCRIPCION VENCIDA;89;40746;;;;;89;40746
127;BOUTIQUE;PERÚ;529/35/41;1241520/11;1950 personas;"""C""";RENOVADO 2012;93;40773;108;41138;;;93;40773
128;OPIUM GARDEN;AV. JUAN B. JUSTO ;1659/75;1653447/11;626 personas;;RENOVADO 2012;111;40823;127;41187;;;111;40823
129;VIEJO CORREO;AV. DIAZ VELEZ;4820;37589/09;300 personas;"""C""";INSCRIPCION 2011 ;119;40851;;;;;119;40851
130;ROSEBAR;HONDURAS;5445;2040335/11;1370 personas;"""C""";INSCRIPCION 2011 ;139;40876;;;;;139;40876
131;OYE CHICO;MONTEVIDEO ;306/50;2204807/11;200 personas;"""C.C""";INSCRIPCION 2011 ;146;40899;;;;;146;40899
132;ONE MORE;AV. BEIRO;3334/6;207312/12;480 personas;"""C""";INSCRIPCION 2012;12;40963;;;; ;12;40963
133;BROOK;AV. JUAN B. JUSTO ;1574;407626/12;700 personas;"""C""";INSCRIPCION 2012;33;40977;;;;;9;40977
134;RABBIT;Av. SCALABRINI ORTIZ;1648/50;540934/12;784 personas;"""C""";INSCRIPCION 2012;96;41096;;;;;96;41096
135;VOODOO MOTEL;Av. DORREGO;1735/9;2127478/12;187personas;"""C.C""";INSCRIPCION 2012;131;41200;;;;;131;41200
